id_ap_method,id_method,isAggregation,granularityAggregation
MET1AP1_ExactSintáctica-Bool_ISBN,MET1_ExactSintáctica-Bool_ISBN,f,
ISBN_AccuracyRatio,MET1_ExactSintáctica-Bool_ISBN,t,Columna
MET2AP1_ExactSintáctica-Bool_Fecha,MET2_ExactSintáctica-Bool_Fecha,f,
MET3AP1_ExactSemantica-Bool_ISBNDB,MET3_ExactSemantica-Bool_ISBNDB,f,
ISBNSemantico_AccuracyRatio,MET3_ExactSemantica-Bool_ISBNDB,t,Columna
MET4AP1CompDensidad_CamposIdentificadores_Libro,MET4_CompDensidad_CamposIdentificadores_Libro,f,
LibrosDensidad_Promedio,MET4_CompDensidad_CamposIdentificadores_Libro,t,TABLA
MET5AP1_CompCobertura_Top100,MET5_CompCobertura_Top100,f,
MET6AP1ConsIntraRelacion-Libros,MET6_ConsIntraRelacion-Libros,f,
ConsIntraRelacion-Libros_RatioDeIntegridad,MET6_ConsIntraRelacion-Libros,t,Tabla
MET7AP1ConsInterRelacion-ISBNRatings,MET7_ConsInterRelacion-ISBNRatings,f,
